Iteration,Std PSO,Ibest,Cbest
1,50,50,50
2,42.66862719,40.47922813,42.3472616
3,33.04551763,40.47922813,18.84272266
4,23.219043,26.68771971,14.68320446
5,23.219043,1.051554509,12.63208465
6,23.219043,1.051554509,4.228014467
7,22.88995457,1.051554509,0.157384409
8,22.86797313,1.051554509,0.157384409
9,22.80562277,1.051554509,0.157384409
10,21.9473949,1.051554509,0.157384409
11,20.15717208,1.051554509,0.157384409
12,18.11251919,1.051554509,0.157384409
13,13.04704239,1.051554509,0.157384409
14,5.807350969,1.051554509,0.157384409
15,5.096066122,1.051554509,0.016795453
16,1.784438434,1.051554509,0.016795453
17,1.784438434,1.051554509,0.016795453
18,1.784438434,1.051554509,0.016795453
19,1.784438434,1.051554509,0.016795453
20,1.784438434,1.051554509,0.016795453
21,1.784438434,1.051554509,0.016795453
22,1.784438434,1.051554509,0.016795453
23,1.784438434,1.051554509,0.016795453
24,1.784438434,1.051554509,0.016795453
25,1.784438434,1.051554509,0.016795453
26,1.784438434,1.051554509,0.016795453
27,1.784438434,1.051554509,0.016795453
28,1.784438434,1.051554509,0.016795453
29,1.784438434,1.051554509,0.016795453
30,1.784438434,1.051554509,0.016795453
31,1.784438434,1.051554509,0.016795453
32,1.784438434,1.051554509,0.016795453
33,1.784438434,1.051554509,0.016795453
34,1.784438434,1.051554509,0.016795453
35,1.784438434,1.051554509,0.016795453
36,1.784438434,1.051554509,0.016795453
37,1.784438434,1.051554509,0.016795453
38,1.784438434,1.051554509,0.016795453
39,1.784438434,1.051554509,0.016795453
40,1.784438434,1.051554509,0.016795453
41,1.784438434,1.051554509,0.016795453
42,1.784438434,1.051554509,0.016795453
43,1.784438434,1.051554509,0.016795453
44,1.784438434,1.051554509,0.016795453
45,1.784438434,1.051554509,0.016795453
46,1.784438434,1.051554509,0.016795453
47,1.784438434,1.051554509,0.016795453
48,1.784438434,1.051554509,0.016795453
49,1.784438434,1.051554509,0.016795453
50,1.784438434,1.051554509,0.016795453
51,1.784438434,1.051554509,0.016795453
52,1.784438434,1.051554509,0.016795453
53,1.784438434,1.051554509,0.016795453
54,1.784438434,1.051554509,0.016795453
55,1.784438434,1.051554509,0.016795453
56,1.784438434,1.051554509,0.016795453
57,1.784438434,1.051554509,0.016795453
58,1.784438434,1.051554509,0.016795453
59,1.784438434,1.051554509,0.016795453
60,1.784438434,1.051554509,0.016795453
61,1.784438434,1.051554509,0.016795453
62,1.784438434,1.051554509,0.016795453
63,1.784438434,1.051554509,0.016795453
64,1.784438434,1.051554509,0.016795453
65,1.784438434,1.051554509,0.016795453
66,1.784438434,1.051554509,0.016795453
67,1.784438434,1.051554509,0.016795453
68,1.784438434,1.051554509,0.016795453
69,1.784438434,1.051554509,0.016795453
70,1.784438434,1.051554509,0.016795453
71,1.784438434,1.051554509,0.016795453
72,1.784438434,1.051554509,0.016795453
73,1.784438434,1.051554509,0.016795453
74,1.784438434,1.051554509,0.016795453
75,1.784438434,1.051554509,0.016795453
76,1.784438434,1.051554509,0.016795453
77,1.784438434,1.051554509,0.016795453
78,1.784438434,1.051554509,0.016795453
79,1.784438434,1.051554509,0.016795453
80,1.784438434,1.051554509,0.016795453
81,1.784438434,1.051554509,0.016795453
82,1.784438434,1.051554509,0.016795453
83,1.784438434,1.051554509,0.016795453
84,1.784438434,1.051554509,0.016795453
85,1.784438434,1.051554509,0.016795453
86,1.784438434,1.051554509,0.016795453
87,1.784438434,1.051554509,0.016795453
88,1.784438434,1.051554509,0.016795453
89,1.784438434,1.051554509,0.016795453
90,1.784438434,1.051554509,0.016795453
91,1.784438434,1.051554509,0.016795453
92,1.784438434,1.051554509,0.016795453
93,1.784438434,1.051554509,0.016795453
94,1.784438434,1.051554509,0.016795453
95,1.784438434,1.051554509,0.016795453
96,1.784438434,1.051554509,0.016795453
97,1.784438434,1.051554509,0.016795453
98,1.784438434,1.051554509,0.016795453
99,1.784438434,1.051554509,0.016795453
100,1.784438434,1.051554509,0.016795453
